Village Name,Tab No,,,,,,,,,
Kondapalli,364,,,,,,,,,
Kondapalli,362,,,,,,,,,
Kondapalli,367,,,,,,,,,
Kondapalli,184,,,,,,,,,
Kondapalli,180,,,,,,,,,
Kondapalli,92,,,,,,,,,
Kondapalli,183,,,,,,,,,
Kondapalli,186,,,,,,,,,
Kondapalli,185,,,,,,,,,
Kondapalli,181,,,,,,,,,
Kondapalli,194,,,,,,,,,
Kondapalli,195,,,,,,,,,
Kondapalli,198,,,,,,,,,
Kondapalli,199,,,,,,,,,
Kondapalli,52,,,,,,,,,
Kondapalli,370,,,,,,,,,
Kondapalli,253,,,,,,,,,
Kondapalli,147,,,,,,,,,
Kondapalli,246,,,,,,,,,
Kondapalli,242,,,,,,,,,
Kondapalli,237,,,,,,,,,
Kondapalli,245,,,,,,,,,
Kondapalli,51,,,,,,,,,
Kondapalli,54,,,,,,,,,
Kondapalli,58,,,,,,,,,
Kondapalli,197,,,,,,,,,
Kondapalli,267,,,,,,,,,
Kondapalli,65,,,,,,,,,
Kondapalli,66,,,,,,,,,
Kondapalli,67,,,,,,,,,
Kondapalli,68,,,,,,,,,
Kondapalli,69,,,,,,,,,
Kondapalli,53,,,,,,,,,
Kondapalli,78,,,,,,,,,
Kondapalli,76,,,,,,,,,
Kondapalli,80,,,,,,,,,
Kondapalli,378,,,,,,,,,
Atkur,195,,,,,,,,,
Atkur,196,,,,,,,,,
Atkur,197,,,,,,,,,
Atkur,198,,,,,,,,,
Atkur,199,,,,,,,,,
Atkur,179,,,,,,,,,
Atkur,180,,,,,,,,,
Atkur,182,,,,,,,,,
Atkur,188,,,,,,,,,
Atkur,189,,,,,,,,,
Atkur,191,,,,,,,,,
Atkur,190,,,,,,,,,
Atkur,171,,,,,,,,,
Atkur,193,,,,,,,,,
Atkur,187,,,,,,,,,
China nadigama,184,,,,,,,,,
China nadigama,185,,,,,,,,,
China nadigama,186,,,,,,,,,
China nadigama,192,,,,,,,,,
China nadigama,194,,,,,,,,,
China nadigama,183,,,,,,,,,
China nadigama,181,,,,,,,,,
Chevuturu,188,,,,,,,,,
Chevuturu,189,,,,,,,,,
Chevuturu,191,,,,,,,,,
Chevuturu,190,,,,,,,,,
Chevuturu,171,,,,,,,,,
Chevuturu,193,,,,,,,,,
Chevuturu,187,,,,,,,,,
Duggiralapadu,195,,,,,,,,,
Duggiralapadu,196,,,,,,,,,
Duggiralapadu,197,,,,,,,,,
Duggiralapadu,198,,,,,,,,,
Duggiralapadu,199,,,,,,,,,
Duggiralapadu,179,,,,,,,,,
Duggiralapadu,180,,,,,,,,,
Duggiralapadu,182,,,,,,,,,
Gaddamanugu,195,,,,,,,,,
Gaddamanugu,196,,,,,,,,,
Gaddamanugu,197,,,,,,,,,
Gaddamanugu,198,,,,,,,,,
Gaddamanugu,199,,,,,,,,,
Gaddamanugu,179,,,,,,,,,
Gaddamanugu,180,,,,,,,,,
Gaddamanugu,182,,,,,,,,,
Gurrajupalem,195,,,,,,,,,
Gurrajupalem,196,,,,,,,,,
Gurrajupalem,197,,,,,,,,,
Gurrajupalem,198,,,,,,,,,
Gurrajupalem,199,,,,,,,,,
Gurrajupalem,179,,,,,,,,,
Gurrajupalem,180,,,,,,,,,
Gurrajupalem,182,,,,,,,,,
H.Muthalampadu,195,,,,,,,,,
H.Muthalampadu,196,,,,,,,,,
H.Muthalampadu,197,,,,,,,,,
